Journal,DisciplinesString
"hindsight (saint louis, mo)",inżynieria biomedyczna;nauki o zdrowiu
hipertension y riesgo vascular,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
hirosaki medical journal,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
hiroshima journal of medical sciences,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
hispania antiqua,archeologia;historia;nauki o bezpieczeństwie
hispanic health care international,nauki o zdrowiu
histoire de l'education,filozofia;historia
histoire des sciences medicales,inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu
histoire epistemologie langage,filozofia;językoznawstwo
histoire et mesure,historia
histoire et societes rurales,historia;nauki o kulturze i religii;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne
histoire medievale et archeologie,archeologia;historia;architektura i urbanistyka
histoire urbaine,"archeologia;historia;architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne"
historein,historia
historia,archeologia;historia;literaturoznawstwo
historia 396,historia;nauki teologiczne
historia contemporanea,historia
historia da educacao,nauki socjologiczne;pedagogika
historia del presente,historia
historia scientiarum : international journal of the history of science society of japan,filozofia;historia
historia urbana,historia;architektura i urbanistyka;geografia społeczno ekonomiczna i gospodarka przestrzenna
historiallinen aikakauskirja,historia
historicka demografie,historia;nauki o zdrowiu;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne
historische sprachforschung,językoznawstwo
historisk tidskrift for finland,historia
history australia,historia
history in africa,historia;nauki o kulturze i religii;nauki o bezpieczeństwie
history of medicine,filozofia;historia;inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
history of philosophy quarterly,filozofia
hiv infection and immunosuppressive disorders,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
hiv nursing,nauki o zdrowiu
hokkaido journal of medical science,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
hokkaido journal of orthopaedics and traumatology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
home healthcare now,inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu
home textiles today,inżynieria materiałowa;nauki chemiczne
homeland security affairs,nauki o bezpieczeństwie;nauki o polityce i administracji;nauki prawne
homme,archeologia;historia;nauki o kulturze i religii;nauki socjologiczne;prawo kanoniczne
homme et la societe,nauki o zdrowiu;nauki socjologiczne
honeyguide,technologia żywności i żywienia;weterynaria;nauki biologiczne
hong kong journal of nephrology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
hong kong journal of social sciences,nauki o zdrowiu;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne
hong kong practitioner,nauki medyczne;nauki o zdrowiu
horizontes antropologicos,nauki o kulturze i religii
hornero,nauki biologiczne
hortus artium mediaevalium,historia;nauki o kulturze i religii;nauki o sztuce
hospital case management : the monthly update on hospital based care planning and critical paths,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
hospital chronicles,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
hospital infection control,nauki medyczne;nauki o zdrowiu;nauki biologiczne
hospital pediatrics,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
hospital peer review,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
hospital practice (1995),inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
hospital topics,inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu
hospitals and health networks,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
hotel management,geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
housing and society,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;nauki socjologiczne"
howard journal of crime and justice,nauki o bezpieczeństwie;nauki prawne
hpb surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
hrvatska revija za rehabilitacijska istrazivanja,inżynieria biomedyczna;nauki o zdrowiu
hrvatski meteoroloski casopis croatian meteorological journal,"inżynieria środowiska, górnictwo i energetyka;nauki o ziemi i środowisku"
hse economic journal,ekonomia i finanse;nauki o zarządzaniu i jakości
hsi an chiao tung ta hsueh journal of xi'an jiaotong university,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna
hss journal,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
hua xi kou qiang yi xue za zhi = huaxi kouqiang yixue zazhi = west china journal of stomatology,inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu
huadong ligong daxue xuebao journal of east china university of science and technology,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki fizyczne"
huagong jinzhan chemical industry and engineering progress,"inżynieria biomedyczna;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
huagong xuebao ciesc journal,inżynieria biomedyczna;inżynieria mechaniczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo
huanan ligong daxue xuebao journal of south china university of technology (natural science),"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
huanjing kexue xuebao acta scientiae circumstantiae,rolnictwo i ogrodnictwo
huanjing kexue environmental science,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki biologiczne;nauki o ziemi i środowisku"
huaxue fanying gongcheng yu gongyi chemical reaction engineering and technology,"inżynieria biomedyczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;rolnictwo i ogrodnictwo"
huaxue gongcheng chemical engineering,"inżynieria biomedyczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne"
huazhong keji daxue xuebao (ziran kexue ban) journal of huazhong university of science and technology (natural science edition),inżynieria biomedyczna
huisarts en wetenschap,nauki medyczne;nauki o zdrowiu
human and veterinary medicine,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;zootechnika i rybactwo
human antibodies,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
human ecology (russian federation),"inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki o zdrowiu;technologia żywności i żywienia;nauki o bezpieczeństwie;nauki socjologiczne;nauki biologiczne"
human evolution,archeologia;nauki o zdrowiu;nauki biologiczne
human genome variation,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne;nauki chemiczne
human geographies,architektura i urbanistyka;geografia społeczno ekonomiczna i gospodarka przestrzenna
human it,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości
human microbiome journal,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
human movement,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki biologiczne
human pathology: case reports,nauki medyczne;nauki o zdrowiu
human physiology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;weterynaria;nauki biologiczne
human resource management international digest,nauki o zarządzaniu i jakości
human technology,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości
humanistic psychologist,nauki o zdrowiu;psychologia
humanities diliman,literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce;nauki socjologiczne
humans and nature,architektura i urbanistyka;rolnictwo i ogrodnictwo;nauki biologiczne
humboldt journal of social relations,nauki o bezpieczeństwie;nauki socjologiczne
hunan daxue xuebao journal of hunan university natural sciences,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki o bezpieczeństwie;nauki prawne;nauki biologiczne;nauki fizyczne;nauki o ziemi i środowisku
hungarian geographical bulletin,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o ziemi i środowisku"
hungarian journal of legal studies,nauki o bezpieczeństwie;nauki prawne
hungarian studies,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;nauki o zdrowiu;nauki o polityce i administracji;nauki socjologiczne;prawo kanoniczne
huozhayao xuebao chinese journal of explosives and propellants,"inżynieria środowiska, górnictwo i energetyka;technologia żywności i żywienia"
hupo kexue journal of lake sciences,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki o ziemi i środowisku"
hydrobiological journal,"inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;zootechnika i rybactwo;nauki biologiczne;nauki o ziemi i środowisku"
hydroecologie appliquee,"inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki biologiczne;nauki o ziemi i środowisku"
hydrology,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki o ziemi i środowisku"
hygiea internationalis,filozofia;nauki farmaceutyczne;nauki o zdrowiu
hygiene + medizin,nauki farmaceutyczne;nauki o zdrowiu
hyperboreus,archeologia;literaturoznawstwo
hyperfine interactions,"inżynieria biomedyczna;inżynieria materiałowa;inżynieria środowiska, górnictwo i energetyka;technologia żywności i żywienia;nauki fizyczne"
iaeng international journal of applied mathematics,informatyka techniczna i telekomunikacja;inżynieria mechaniczna;matematyka
iaeng international journal of computer science,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
iarc monographs on the evaluation of carcinogenic risks to humans,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
iavi report : newsletter on international aids vaccine research,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
iberoamerica (russian federation),nauki prawne
ibro reports,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
icic express letters,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;nauki o bezpieczeństwie;informatyka"
"icic express letters, part b: applications",informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
"icon (london, england)",filozofia
icon news,nauki o sztuce;architektura i urbanistyka;inżynieria materiałowa;inżynieria mechaniczna
ideology and politics journal,nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
idesia,rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki biologiczne
ieee electromagnetic compatibility magazine,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;astronomia"
ieee engineering management review,nauki o zarządzaniu i jakości
ieee international conference on rehabilitation robotics,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria mechaniczna;nauki o zdrowiu"
ieee potentials,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;nauki o zarządzaniu i jakości;nauki socjologiczne;pedagogika"
ieee power and energy technology systems journal,"automatyka, elektronika i elektrotechnika;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki chemiczne"
ieee reviews in biomedical engineering,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne"
"ieee transactions on molecular, biological, and multi scale communications",inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki biologiczne
ieee osa journal of display technology,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna"
"ieej transactions on electronics, information and systems","automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna"
ieej transactions on fundamentals and materials,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa"
ieej transactions on industry applications,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna"
ieej transactions on power and energy,"automatyka, elektronika i elektrotechnika;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki chemiczne"
ieej transactions on sensors and micromachines,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna"
ieie transactions on smart processing and computing,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna"
ifac papersonline,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;nauki o bezpieczeństwie"
ifrf combustion journal,"inżynieria chemiczna;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki fizyczne"
igaku butsuri : nihon igaku butsuri gakkai kikanshi = japanese journal of medical physics : an official journal of japan society of medical physics,inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu;nauki fizyczne
igiene e sanita pubblica,inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu
iise transactions on healthcare systems engineering,"informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki o zdrowiu"
